0.9,71447932,71446592,71448790,71444354,71444858,71443944,71447929,71448181,71445996,71453021,71451301,71455939,71447803,71445719,71452396,71446393,71451005,71451500,71441987,71449895,71448221,71452222,71451440,71443653,71445360,71451524,71445729,71447809,71453013,71449055
0.5,44688109,44692006,44693425,44694283,44696014,44690561,44699742,44686703,44710110,44688484,44708442,44684205,44712146,44685877,44692969,44687226,44687189,44689818,44704302,44686783,44697743,44711641,44685001,44694733,44691536,44695976,44693023,44696251,44699669,44701257
0.4,38025759,38029995,38030006,38019284,38021955,38011647,38039930,38023085,38030174,38025793,38033013,38041428,38009034,38017814,38033548,38022154,38023879,38038174,38026716,38026844,38008100,38019656,38032013,38036328,38032171,38044708,38025367,38020131,38025403,38030729
0.3,31369793,31372003,31361506,31367942,31361170,31374449,31366667,31369812,31370909,31366237,31369861,31370108,31359865,31359491,31363128,31368430,31370040,31379386,31345309,31362191,31374315,31361606,31369809,31381183,31367997,31359324,31368745,31355003,31359743,31377168
0.2,24203688,24183623,24203732,24204254,24190261,24202895,24196909,24203892,24192840,24194039,24203304,24212908,24208488,24200771,24191247,24195198,24214859,24205923,24195450,24186098,24203019,24198515,24191383,24206049,24190569,24208527,24198851,24205815,24197805,24201489
0.1,14821999,14824235,14817545,14811452,14815899,14806604,14812247,14786126,14807557,14801334,14828554,14813190,14813716,14810784,14816158,14799932,14830564,14811709,14821317,14809318,14818419,14823455,14811573,14804599,14813312,14808486,14814645,14806089,14819725,14819226
0.09,13649976,13641129,13650157,13673459,13661276,13647299,13651361,13649527,13654287,13647683,13642324,13646223,13656197,13662675,13658759,13647530,13669030,13663023,13652066,13646600,13654512,13657508,13654312,13646218,13657419,13655295,13634607,13660393,13651256,13655013
0.08,12412193,12392958,12385095,12399458,12401605,12405765,12405576,12399167,12402403,12398121,12420328,12406746,12396692,12399341,12400492,12409242,12401893,12407601,12399630,12393358,12390560,12405285,12436308,12395329,12418484,12391281,12398853,12406189,12398532,12396322
0.07,10984492,11010480,11002364,10992622,10996836,11004783,11001862,11007202,11010916,10997770,11019090,10998923,11014348,11020650,11006982,10997315,11007519,11008286,10983826,11020781,10996519,11003390,11010100,11017210,10992672,11018362,11016275,11017313,11002027,10998504
0.06,9461544,9457892,9487357,9469690,9468608,9472111,9493507,9484161,9477140,9470536,9501230,9493255,9466409,9486436,9480248,9499901,9489854,9485630,9482813,9482551,9468010,9491538,9490319,9479463,9468923,9478227,9476961,9489655,9484431,9478003
0.05,7885655,7878428,7865813,7872446,7892417,7884863,7874553,7894721,7874850,7887634,7893249,7885359,7878068,7891519,7896250,7875539,7897454,7883061,7889688,7881224,7878767,7883160,7874200,7884793,7886773,7886263,7895607,7898743,7871301,7863988
0.04,6280364,6257491,6251877,6275365,6254423,6280172,6277998,6268415,6264883,6252289,6269367,6280129,6272562,6273460,6269312,6255668,6269119,6289767,6258932,6275879,6263210,6266201,6261942,6271127,6271716,6267974,6267381,6279782,6265573,6274645
0.03,4711249,4713620,4714075,4730376,4721848,4718480,4705805,4722758,4714862,4722546,4718991,4726832,4712816,4709492,4699133,4724450,4719746,4720901,4713245,4707861,4713693,4716843,4713731,4717163,4710372,4732900,4708105,4712875,4709542,4720704
0.02,3244387,3237295,3233089,3235848,3235729,3247082,3233803,3229847,3230508,3240896,3237357,3235344,3228704,3239549,3236271,3241100,3230970,3231467,3228370,3235388,3229666,3238479,3237188,3235803,3226578,3240395,3236980,3233139,3233525,3233676
0.015,2487517,2482202,2489482,2491147,2491991,2492227,2490049,2488266,2489308,2491338,2490849,2488796,2487326,2488438,2487871,2491159,2492922,2489848,2488324,2483241,2493657,2489879,2491530,2486543,2490367,2487599,2490271,2497793,2481791,2488823
0.01,1733744,1736424,1732397,1741395,1724897,1737910,1730926,1731399,1733410,1731791,1731836,1735877,1728860,1734898,1735154,1722879,1731512,1732339,1737381,1725493,1735546,1734237,1739996,1726456,1729242,1737648,1739341,1738203,1729414,1732005
0.005,993054,990604,990134,996662,994042,989862,994090,994448,992278,985225,989344,990702,990384,988034,988717,988194,988696,990799,987289,992151,994870,987613,987505,989307,995956,994193,987994,991928,992850,989874
0.0025,537011,535789,542694,541469,540065,536222,542204,531832,541928,541285,536651,535256,538551,535238,540514,536161,536360,539501,537117,533258,535872,538109,539655,536818,536027,535670,536850,541300,537815,536008
0.001,219090,217987,214369,218099,217944,221468,219710,215084,222341,219747,217013,218894,216302,221527,220520,220769,218426,219326,218259,216721,219764,217786,219814,221790,217413,217664,220464,218388,220523,217038
